Drug,Caco2_Wang,PPBR_AZ,VDss_Lombardo,Half_Life_Obach,LD50_Zhu
COC(=O)CCBr,,,,,2.019
CCC1(c2cccc(O)c2)CCCC[NH+](C)C1,,,3.3,,
COc1c(OC)c(Cl)c2[nH]c(C(F)(F)F)nc2c1Cl,,,,,3.498
C[NH+]1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,,,3.1,,
CCOP(=O)(OCC)OC(C)=CC(=O)OC(C)c1ccccc1,,,,,3.722
CCCN(CCC)C(=O)C(CCC(=O)NCCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12)NC(=O)c1ccccc1,,,,,3.2960000000000003
Cc1cccc(C)c1NC(=O)C(C)N,,,,12.0,
Cc1c(C)c2c(c(C)c1OC(=O)C(C)(C)Oc1ccc(Cl)cc1)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,,,,,1.621
CCC(CO)CC(C)C,,,,,1.482
ClC(Cl)(Cl)C(Cl)(Cl)Cl,,,,,1.725
COc1ccc2c(O)cc(=O)n(Cc3ccc(-c4ccccc4-c4nn[nH]n4)cc3)c2c1,,99.89,,,
CCCCOCCOCC,,,,,1.713
CNS(=O)(=O)CCc1ccc2[nH]cc(C3CC[NH+](C)CC3)c2c1,,,2.4,,
CC(=[NH2+])N1CCC(Oc2ccc(C(Cc3ccc4ccc(C(N)=[NH2+])cc4c3)C(=O)[O-])cc2)C1,,,1.55,,
CCOP(=S)(OCC)N(SN(C)C(=O)ON=C(C)SC)C(C)C,,,,,3.094
O=[N+]([O-])c1c(Cl)c(Cl)c2nc(C(F)(F)F)[nH]c2c1Cl,,,,,4.3580000000000005
C[NH+]1CCOC(c2ccccc2)c2ccccc2C1,,,5.6,,
O=C(Cl)c1cccc([N+](=O)[O-])c1,,,,,1.878
Cc1ccc2nc(C[N+]34CCC(CC3)[C@@H](OC(=O)[C@](C)(c3ccccc3)N3CCCCC3)C4)oc2c1,,92.95,,,
N#CC(N=Nc1ccc(C(F)(F)F)cc1)=NNc1ccc(C(F)(F)F)cc1,,,,,2.798
CCOC(=N)c1sc2ccccc2c1O,,,,,1.743
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC(=O)Oc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],,,,,3.62
CCOc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1N1CCOCC1,,91.64,,,
CCOC(C1=NCC(C)(C)CN1)c1ccc(OC)cc1,,,,,2.6460000000000004
CC(=O)OCCCCCCOC(C)=O,,,,,1.829
Cc1ccc(S(=O)(=O)NCCSc2nnnn2-c2ccc(C(N)=O)cc2)cc1,,89.91,,,
CCCCOCCOCCOC(OCCOCCOCCCC)c1ccc2c(c1)OCO2,,,,,2.191
Cc1c(Cl)c(=O)oc2cc(OP(=O)(OCC(C)Cl)OCC(C)Cl)ccc12,,,,,2.8110000000000004
N=C(N)c1ccc(-c2ccc(-c3ccc(C(=N)N)cc3)o2)cc1,-6.4201083,,,,
CCc1ccc(NC(=O)c2ccnn2CCc2ccncc2)cc1,-5.0116143,,,,
COc1ccc2nc(C)cc(N3CC(CNC(=O)C4CC4)OC3=O)c2c1,,67.63,,,
CN1CCN(CCCN2c3ccccc3Sc3ccccc32)CC1,,,,,2.832
CO/N=C(/C(=O)NC1C(=O)N2C(C(=O)[O-])=C(Cn3ccc(=[NH2+])n3CCO)CSC12)c1csc(N)n1,,,0.3,,
C[N+](C)(C)CC(O)CC(=O)[O-],,,0.4,,
CNC(=O)ON=C1C(Cl)C2CC(C#N)C1C2,,,,,3.985
CC(C)OC(=O)c1ccccc1,,,,,1.644
CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCCN(Cc2ccccc2)C1)C1CCCCC1,,80.29,,,
CCc1nc2c(N)[nH+]c3ccccc3c2n1CCCCNS(C)(=O)=O,,,3.1,,
COc1ncc(-c2ccccc2C(F)(F)CNC(=O)c2ccc(COCC(F)(F)F)nc2)cn1,,99.01,,,
CN1CCC[C@H]1c1cccnc1,,,,2.0,
C=CCOC=CCOC(C)=O,,,,,1.622
CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,,,,2.1,1.875
O=P([O-])([O-])C(Sc1ccc(Cl)cc1)P(=O)([O-])O,,,0.23,,
C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,,,,,2.301
NCC(O)CO,,,,,1.085
CCOP(=S)(OCC)SC1CCSc2ccc(Cl)cc21,,,,,3.768
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(O)C1OC,,,,,2.937
CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],,,,,2.24
CCCCCC(CC)c1cc([N+](=O)[O-])c(OC(=O)OC)c([N+](=O)[O-])c1,,,,,2.887
FC(F)(F)C(Cl)(Cl)C(Cl)(Cl)C(F)(F)F,,,,,2.58
Cc1ccc2c(c1)c(-c1ccnc3c(F)cccc13)c(C)n2CC(=O)O,,99.1,,,
C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,,,,,3.591
CC(C)NC(=O)OC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,,,,,3.053
Oc1ccc(Nc2ccc3ccccc3c2)cc1,,,,,1.656
CC(C)(C)NC(=O)NCCN1CCC(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1,,89.05,,,
CCN(CC)C(=O)c1ccccc1O,,,,,2.523
[NH3+]C1CN(c2c(F)cc3c(=O)c(C(=O)[O-])cn(C4CC4F)c3c2Cl)CC12CC2,,,1.5,,
CCCN=C(NCCC)C(OCC)c1ccccc1,,,,,3.4410000000000003
COC(CC(C)=O)OC,,,,,1.329
CCCc1ccc2c(c1)OCO2,,,,,1.861
CN1CCN(C2=Nc3ccccc3Nc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1,,96.42,,,
O=C(/C=C/c1ccc(O)c(O)c1/C=C/c1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O,-7.2277412,,,,
CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c(C)c1,,95.72,,,
CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,,,3.0,,
CCOc1nnc(CSP(=O)(OCC)OCC)s1,,,,,4.058
O=C(O)c1cccc2c(Cl)ccc(C(=O)O)c12,,,,,1.855
COc1ccccc1OCC(O)COC(=O)c1cccnc1,,,,,1.595
CN(C)c1nc2cc(Cl)ccc2o1,,,,,2.391
CN(C)N=Nc1ccc(C(=O)O)cc1,,,,,2.781
CC(C)COCCO,,,,,2.47
COc1ccc(C=O)cc1,,,,,1.955
O=C(c1cccc(N2Cc3cccc(Cl)c3C2=O)c1)N1CCC2(CC1)CCN(c1ccncc1)CC2,,99.05,,,
C/C=C/c1ccc(Oc2nnnn2-c2ccc(C(N)=O)cc2)c(OC)c1,,97.32,,,
COC(=O)OC12COC1CC(O)C1(C)C(=O)C(OC(C)=O)C3=C(C)C(OC(=O)C(O)C(NC(=O)c4ccccc4)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C,,,6.9,,
O=C(O)COc1ccc(Cl)cc1CN1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,,98.99,,,
FC(F)(F)c1nc2c(Br)cc(Cl)cc2[nH]1,,,,,4.62
CCCOP(=S)(OCC(C)C)Oc1cnn(C)c(=O)c1OC,,,,,3.553
CC(C)=CCC(CCN(C)C)(C(N)=O)c1cccc2ccccc12,,,,,3.3560000000000003
CCCCCCCC[Si](OCC)(OCC)OCC,,,,,1.495
CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2)C(C)C,,,,,3.592
c1ccc2c(c1)CCCC2,,,,,1.665
COCCN1CC[NH+](Cc2ccc(-c3n[nH]c4c3C(=O)c3c(NC(=O)NN5CCOCC5)cccc3-4)cc2)CC1,,,5.9,,
CN1C(=O)C([O-])CC1c1cccnc1,,,0.85,,
CCC(C)Nc1c([N+](=O)[O-])cc(C(C)(C)C)cc1[N+](=O)[O-],,,,,2.072
CCOc1ccc(Cl)cc1C(CN(C)C)C(C)CC,,,,,2.6519999999999997
N#CC1CCCCC1,,,,,3.135
Cc1cccc(C)n1,,,,,2.428
C=C(C)C(=O)OCCC#N,,,,,1.278
C#CCOc1cccc(OC(=O)NC)c1,,,,,3.136
CC(=O)NC(CSSCC([NH3+])C(=O)[O-])C(=O)NC(C)C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(C)C(=O)NC(CCCNC(N)=[NH2+])C(N)=O,,,0.5,,
CC[NH+](CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,,,0.98,,
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)C)CC(O)CC1O,,,,,6.071000000000001
CC(=O)c1ccc(N)cc1,,,,,2.55
CC(C(=O)O)c1ccc(-c2ccccc2F)cc1,,,,,2.86
C=COC(=O)CCCCC(=O)OC,,,,,1.4780000000000002
Cc1nc(C(C)C)c(C(N)=O)nc1-c1ccc([C@H]2CC[C@H](CC(=O)O)CC2)cc1,,97.38,,,
O=C(CCc1ccccc1)OC1=C(OC(=O)CCc2ccccc2)C(=O)OC1=O,,,,,1.596
NC(=O)c1cnc(N[C@@H]2CCCC[C@@H]2N)nc1Nc1cccc(-n2nccn2)c1,,91.82,,,
CCOc1ccc([N+](=O)[O-])cc1,,,,,1.705
CCOP(=O)(CC)Sc1ccc(Cl)cc1,,,,,4.659
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,,66.1,1.5,9.6,3.162
CCOC(C)=Cc1oc2ccccc2[n+]1CCCS(=O)(=O)[O-],,,,,1.471
COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,,,,5.7,
C#CC(C)(C)O,,,,,1.635
O=C1CSc2ncccc2N1,,,,,2.199
CCC(O)(CC)c1n[nH]cc1Cl,,,,,2.903
CC(=Cc1ccccc1)CC(=O)N1CCOCC1,,,,,2.39
CCC1OC(=O)CC(O)C(C)C(OC2OC(C)CC([NH+](C)C)C2O)C(CC=O)CC(C)C(=O)/C=C\C2(C)OC2C1C,,,2.83,,
NC(Cc1ccc(O)c(O)c1)C(=O)O,,,,,2.044
Nc1cc(-c2ccccc2)ccc1O,,,,,1.913
N#CCCO,,,,,1.347
C=CCCCC=CCO,,,,,0.985
C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,,,,,1.74
CCC(C(=O)N1CCCCC1C(=O)OC(CCc1ccc(OC)c(OC)c1)c1cccc(OCC(=O)NCCNC(=O)COc2cccc(C(CCc3ccc(OC)c(OC)c3)OC(=O)C3CCCCN3C(=O)C(CC)c3cc(OC)c(OC)c(OC)c3)c2)c1)c1cc(OC)c(OC)c(OC)c1,,,0.62,,
O=C(OCC(O)C1COc2ccccc2O1)N1CCOCC1,,,,,2.314
CCOC(=S)SSC(=S)OCC,,,,,2.7030000000000003
N#Cc1ccc2c(c1)CN(S(=O)(=O)c1cccs1)C(Cc1ccccc1)CN2Cc1cnc[nH]1,,,0.84,,
CSCCC(NC(=O)c1cnccn1)c1nc2ccccc2[nH]1,,60.22,,,
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)C(=O)N1,-4.46,,,,
O=C(Cl)Oc1cccc2ccccc12,,,,,1.909
C=C(C)C(=O)OCCN(CCOC(=O)C(=C)C)CCOC(=O)C(=C)C,,,,,1.5
COP(C)(=S)Oc1ccc(S(C)=O)c(C)c1,,,,,4.967
C=CC(=O)OC,,,,,2.492
CCN(CC)CC,,,,,2.342
O=C([C@H]1CCCCN1)N1CCN(c2nc(NCc3ccc(Cl)cc3Cl)c3cccnc3n2)CC1,,88.11,,,
CCS(=O)CCOP(=O)(OC)OC=C(Cl)Cl,,,,,3.452
COCCOC(N)=O,,,,,1.035
CCOc1ccccc1OCC1C[NH2+]CCO1,,,0.73,,
O[C@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@@H]1CCCCN1,,97.86,,,
COc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,,,,,2.634
CC(C)(C)C(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,,,,,2.904
Cc1cc(=NC(=O)c2ccccc2O)n(C)n1C,,,,,2.226
CCO[C@@H](Cc1ccc(OCCc2ccc(OS(C)(=O)=O)cc2)cc1)C(=O)O,,,,45.0,
CCCCCCC(CC=CCCCCCCCC(=O)OCCOC)OC(C)=O,,,,,1.422
O=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,,,7.6,,
CNC(=O)ON=CC1(C)SCCS1,,,,,4.572
Cc1csc(NC(=O)C(C(=O)OC(C)C)=C2SCS2)n1,-4.5100002,,,,
CC(C)c1noc2nc(C(C)(C)C)ncc12,,,,,1.153
COc1cc(O)c2c(O)c3c(c4c2c1C1(C4)C(C)=CCCC1(C)C)C(O)C1(O)CC(O)=C(C(N)=O)C(=O)C1(O)C3=O,,,,,3.666
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1,,,2.2,,
COCCCOc1ccnc(CS(=O)c2nc3ccccc3[nH]2)c1C,,,0.22,,
S=P(N1CC1)(N1CC1)N1CC1,,,1.6,2.7,3.915
CCCCCNC(=[NH2+])N/N=C/c1c[nH]c2ccc(OC)cc12,,,5.3,,
C=COC(=O)C=C,,,,,3.063
O=[N+]([O-])c1ccc(O)c(Cl)c1,,,,,2.285
CNC(=O)Oc1cc(C)c(S(C)=O)c(C)c1,,,,,3.759
CC(=O)Oc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1C(C)(C)C,,,,,3.658
O=C(NN1CCCC1)NS(=O)(=O)c1ccc(Cl)cc1,,,,,1.87
CCN1CCCC1=O,,,,,1.923
CCCCc1ccc(C(=O)c2ccccc2F)cc1,,,,,2.506
CCCN(CCC)C(=O)C(Cc1ccc(OCCN(CC)CC)cc1)NC(=O)c1ccccc1,,,,,2.767
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)[C@H](O)c4ccccc4)[C@H]3SC2)s1,,,,1.0,
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,-4.6599998,,,,
CC(Cl)CO,,,,,2.637
Cn1c(CNc2ccc(C(N)=[NH2+])cc2)nc2cc(C(=O)N(CCC(=O)[O-])c3ccccn3)ccc21,,,0.85,,
CC(C)Cc1ccc(C(C)C(=O)[O-])cc1,,,0.15,,
C=CC(C)(CCC=C(C)C)OC(=O)C=Cc1ccccc1,,,,,1.456
CN(c1ccc(F)cc1F)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1C(F)(F)F,,,,,3.179
CCC(Cl)Cl,,,,,1.24
C=C(C)C(=O)NCO,,,,,2.611
Oc1ccc2c(c1)CCC2,,,,,1.616
CN(C)c1ccc(N=Nc2cccc(C(=O)O)c2)cc1,,,,,1.855
COCC(O)Cn1ccnc1[N+](=O)[O-],,,,,1.975
Cc1cc2cc(C)c3nnc(SCC(=O)N4CCN(C(=O)c5ccco5)CC4)n3c2cc1C,,97.91,,,
COC1CC2CC1C1CC(C=O)CC21,,,,,1.841
COP(=S)(OC)SC(C)CSCC(C)SP(=S)(OC)OC,,,,,3.06
CC(C)CC(NC(=O)C(CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)C1(C)CO1,,,0.13,,
CN(C)c1ccc(-c2nc(=O)n(C)nc2-c2ccc(N(C)C)cc2)cc1,,,,,2.066
NC(=O)[C@H]1CCCN1C(=O)[C@@H](Cc1c[nH]cn1)NC(=O)[C@H]1CCC(=O)N1,-6.8313413,,,,
Cc1cc2[nH]c(C(F)(F)F)nc2cc1Cl,,,,,3.63
CC(C)Oc1cc2ncc(C(N)=O)c(Nc3ccc(Cl)c(Cl)c3)c2cc1N1CCN(C)CC1,,99.01,,,
ClCC1COC(C(Cl)(Cl)Cl)O1,,,,,2.38
COc1cc2nnc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1N1CCN(C)CC1,,90.52,,,
CCCCN(N=O)c1ccc(N(CCCC)N=O)cc1,,,,,2.03
FC(F)(F)c1nc2c(Cl)c(Cl)cc(Cl)c2[nH]1,,,,,4.66
CCC=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,,,,,2.6260000000000003
CCCSP(=S)(OCC)Oc1ccc(SC)cc1,,,,,3.696
N#Cc1ccc(C[C@@H](C(=O)O)N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,,94.79,,,
Cc1ccc(S(=O)(=O)Nc2c(C(=O)NC3CCCCC3C)c(C)nn2-c2ccccc2)cc1,,99.34,,,
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-],,,0.19,,
COCCNCC(=O)NC12CC3CC(CC(C3)C1)C2,,50.0,,,
NC(=S)NC(N)=S,,,,,4.4319999999999995
O=C(NO)c1ccccc1O,,,,,1.486
C#CCOP(=O)(OCC(C)C)c1ccccc1,,,,,2.6239999999999997
CCCCC(CC)OCCOCCO,,,,,1.842
CNC[C@H](O)c1ccc(O)c(O)c1,-6.125,,,,
CO[C@H]1CN(CCn2c(=O)ccc3ccc(C#N)cc32)CC[C@@H]1NCc1cc2c(cn1)OCCO2,,84.0,,,
CCOC(C1=NCC(C)(C)CN1)c1cccc(F)c1,,,,,2.5469999999999997
CCOC(=O)C1=CN(C(C)=O)C2CCCC(C)N2C1=O,,,,,2.051
CC1=NN(c2ccccc2)C(=O)C1C=O,,,,,2.451
CC(=O)OCCC(Cl)C(C)=O,,,,,1.94
Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2F)n[nH]1,,52.88,,,
O=C1CN2CCOC2(c2ccccc2F)c2cc(Br)ccc2N1,,,,,2.121
Clc1ccc(C(OCCN2CCCCC2)c2ccccc2)cc1,,,,,2.1519999999999997
C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,,28.95,0.37,,
OCCC1CCN(CCC=C2c3ccc(F)cc3Sc3ccc(C(F)(F)F)cc32)CC1,,,,,5.479
O=C(NCCc1ccc(O)cc1)c1cccnc1,,,,,1.455
CCOC(=O)c1c(C)cc2nc(COC(=O)NC)n(-c3ccccc3Cl)c(=O)c2c1C,,,,,2.249
CCCCCCC(O)C1C2=C(CC(C(O)C3CC=CC(=O)O3)CC3=C(C(=O)OC3=O)C1O)C(=O)OC2=O,,,,,3.113
CCOC(=O)Oc1ccc(CCNC(=O)C(CCSC)NC(C)=O)cc1OC(=O)OCC,,,,,2.372
CCN(CC)CCO,,,,,1.955
C[C@H](CN(C(=O)c1ccc(C#N)cc1)c1ccccn1)N1CCN(c2cccc3c2OCCO3)CC1,,99.1,,,
CCOCCOCC,,,,,1.43
CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1,,,,14.0,
CC(C)(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],,,,,5.307
CCOP(=S)(Oc1cnn(C)c(=O)c1OC)OC(C)C,,,,,5.003
COCC(=O)Nc1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I,,,0.22,2.6,
O=C(/C=C/c1ccc(O)c2c1C(C(=O)O)C(c1ccc(O)c(O)c1)O2)OC(Cc1ccc(O)c(O)c1)C(=O)O,-7.0891552,,,,
COc1cccc2c1c([N-]S(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(=O)C(C)(C)O)c1,,,1.65,,
C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC1=O,-5.8200002,,,,
C1C2OC2C2C1C1CC2C2OC12,,,,,2.893
S=c1sc2nc3ccccc3nc2s1,,,,,2.1180000000000003
CO[C@@]1(NC(=O)[C@H](C(=O)O)c2ccsc2)C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@@H]21,,,0.11,,
CCP(=O)(OC)Oc1ccc(S(C)(=O)=O)cc1,,,,,5.541
CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)cc1,,97.26,,,
CNC(=O)CSP(C)(=S)OC,,,,,4.329
O=C1c2ccccc2-c2c([N+](=O)[O-])cc3c4cc([N+](=O)[O-])c5c6c(ccc(c7ccc1c2c73)c64)C(=O)c1ccccc1-5,,,,,1.7380000000000002
CCC(C)NC(=S)C(=S)NC(C)CC,,,,,4.588
O=P(O)(O)OC(=CCl)c1ccc(Cl)cc1Cl,,,,,4.368
COc1ccc(CNCC(O)COc2ccc3[nH]c(=O)ccc3c2)cc1OC,,,,,2.4090000000000003
Cc1ccc(SP(=S)(CCl)OC(C)C)cc1,,,,,3.16
Cc1ccccc1OCC(O)C[NH2+]CCOc1ccc(C(N)=O)cc1,,,4.0,,
COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1C2N1C,,,,,3.71
O=C(CCC[NH+]1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,,,3.8,,
O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc([N+](=O)[O-])cc54)CC3)nc2N1,,75.12,,,
CC(C)=CCCC1=CCC(C=O)CC1,,,,,1.44
C=Cc1ccccc1Cl,,,,,1.527
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C.O.O.O,,,,11.0,
CCOP(=S)(OCC)SCCl,,,,,4.525
c1ccc2c3c([nH]c2c1)CCCC3,,,,,1.81
CN(C)C(=O)NC1CC2CC1C1CCCC21,,,,,2.046
O=C(O)c1ccccc1N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,,82.05,,,
COc1ncc2ccc(=O)n(CCN3CCC(NCc4cc5c(cn4)OCCO5)CC3)c2n1,,72.45,,,
Cc1ccc2[nH]c(C(F)(F)F)nc2c1[N+](=O)[O-],,,,,4.5
CC(C)=CCCC(C)CC#N,,,,,1.455
CN(C)C(CSC#N)CSC#N,,,,,3.39
CC(=O)c1ccc2c(c1)N(CCCN1CCOCC1)c1ccccc1S2,,,,,2.168
CCOP(=S)(Oc1ccc(C#N)cc1)c1ccccc1,,,,,4.027
CC(N)Cc1ccccc1,,,,7.3,3.654
CCC(C)(C)c1ccc(OCCCCN)c(C(C)(C)CC)c1,,,,,2.582
O=C1CCCO1,,,,,1.747
C=C(C)C1CCC(C)(OP(=S)(OC)OC)CC1,,,,,2.7460000000000004
COc1ccc(CCO[C@@H]2CCCC[C@H]2N2CC[C@@H](O)C2)cc1OC,,37.06,,,
CCOP(=O)(OC=C(SCC)SCC)OCC,,,,,4.302
C[C@@](C(=O)O[C@H]1C[N+]2(CCc3ccccc3)CCC1CC2)(c1ccccc1)N1CCCCC1,,97.6,,,
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CC[NH+](C)CC4)ccc3OCC)nc12,,,1.36,,
[NH3+][NH+]=c1cc2c(n[nH]1)CCN(C(=O)c1ccccc1)C2,,,2.2,,
C[NH+](C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,,,12.0,,
CC1(C)C2CCC1(C)C(Oc1ccc(N)cc1)C2,,,,,2.57
CC(C)OC(C)C,,,,,1.081
CCOc1cccc(/C=C2\SC(=O)NC2=O)c1N1CCC[C@@H](N)C1,,94.79,,,
CCC(C)CCCCC(=O)NC(CCN)C(=O)NC(C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(C(C)O)NC(=O)C(CCN)NC(=O)C(CCN)NC(=O)C(C(C)O)NC(=O)C(CC(C)C)NC(=O)C(CCN)NC1=O)C(C)O,,,,,3.1039999999999996
N=C(N)c1ccc2nc(-c3ccccn3)[nH]c2c1,-6.4579659000000005,,,,
CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC,,89.05,,,
ClC1C=CCC1,,,,,2.506
Nc1ccn(CC(CO)OCP(=O)([O-])[O-])c(=O)n1,,,0.49,,
Nc1ccc2ccccc2c1,,,,,2.294
CC=C(C)C(=O)N1CCCc2cc(C)ccc21,,,,,2.018
NC(=O)CC[C@H](N)C(=O)O,-6.0702906,,,,
CCC(C)CCCCCCC(=O)NC1C(Oc2c3cc4cc2Oc2ccc(cc2Cl)C(OC2OC(CO)C(O)C(O)C2NC(C)=O)C2NC(=O)C(NC(=O)C4NC(=O)C4NC(=O)C(Cc5ccc(c(Cl)c5)O3)NC(=O)C(N)c3ccc(O)c(c3)Oc3cc(O)cc4c3)c3ccc(O)c(c3)-c3c(OC4OC(CO)C(O)C(O)C4O)cc(O)cc3C(C(=O)[O-])NC2=O)OC(CO)C(O)C1O,,,0.57,,
CCCCCCCCCCCCCCCCCC(=O)OCCCC,,,,,1.027
COP(=S)(NC(C)C)Oc1ccc(Cl)cc1Cl,,,,,3.0660000000000003
CCCSP(=S)(OCC)Oc1ccc(Cl)cc1Cl,,,,,2.596
FC(F)(F)c1nc2c(C(F)(F)F)cc(Cl)cc2[nH]1,,,,,5.24
NP(=S)(N1CC1)N1CC1,,,,,3.393
CC1CCCC2C(C)OP(=S)(Cl)OC12,,,,,3.365
CCC(CC)CO,,,,,1.742
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,,20.83,,2.0,
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(CN)S[C@H]12,,,0.23,,
CNC(=O)N(N(CCCl)S(C)(=O)=O)S(C)(=O)=O,,,0.88,,
CC(C)CC(=O)OCC=Cc1ccccc1,,,,,1.64
CC1CS(=O)(=O)CCN1N=Cc1ccc([N+](=O)[O-])o1,,,,,1.851
CNC(=O)ON=C(CS(C)=O)C(C)(C)C,,,,,4.79
CCCCN(CCCC)CCOc1ccnc(N)n1,,,,,2.426
CCP(=S)(OC)SCn1c(=O)oc2cccnc21,,,,,2.8110000000000004
Cc1ccc(-c2c(C)nn(C)c2C)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,,98.21,,,
CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O,,,,,3.1919999999999997
N#Cc1ccc2[nH]c(C(F)(F)F)nc2c1,,,,,4.68
C(=Nc1ccc(N=Cc2ccco2)cc1)c1ccco1,,,,,2.336
CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2OC(=O)N(CCCl)N=O,,,,,2.271
FC(F)(F)c1nc2c(Br)c(Br)c(Br)cc2[nH]1,,,,,4.77
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,,,,,2.381
CCCCNS(=O)(=O)c1ccccc1,,,,,2.017
